xgappid,userid,appname,addtime,usertype,logourl,packagename
98000514,tako_56517754e138230a9b000ea8,樱桃小丸子,1449477259,0,ks3-public/logo/7a5bb40b-70cb-405d-7d31-a123482fe2a5.png,com.tencent.yingtaoxwz
98000515,tako_56270df4e138234e0a000052,决战赤壁7435,1449595628,0,ks3-public/logo/c1c98af6-cf6b-4dcf-6ce3-ab99eaa5f8b0.png,net.wlfun.chibi.ios.net
98000516,tako_56678bdda2aa4c3587bbac9d,云诊室,1449626676,0,ks3-public/logo/0139f0ed-63a7-4133-7c9e-08cd1467d61c.png,com.hospital
98000517,tako_5667c1d1a2aa4c3587bbbd32,牛测网,1449640503,0,ks3-public/logo/5f1d1481-e78a-431c-765c-e20b0df2c493.png,com.zskj.lichuan
98000518,tako_56691a62a2aa4c6d1e7ec567,梦工坊,1449728690,0,ks3-public/logo/5054d960-0b69-4daf-6b93-2f2952699b7e.png,com.zrfilm.mgf
98000519,tako_566a2f35a2aa4c6d1e7ee221,世界真大,1449800679,0,ks3-public/logo/0064e971-377b-4e22-74c9-20e30970fd9d.png,com.tencent.shijiezhenda
98000520,tako_56527dd0e138230a9b00227b,汇金棋牌,1449821613,0,ks3-public/logo/abe93f64-9066-471c-7528-7b28b297129a.png,org.HuiJinQiPai.com
98000521,tako_56476312e138231293000e24,子机,1449829515,0,ks3-public/logo/4536f6c5-e8de-4d2c-47ec-6b824b4d6815.png,com.example.xhwx12k02
98000522,tako_56476312e138231293000e24,子机,1449832930,0,ks3-public/logo/25b0857b-6012-4633-62cb-659f15d2d65d.png,com.example.xlzcjwx1
98000523,tako_56476312e138231293000e24,多开母机,1449833354,0,ks3-public/logo/9b9a1fb2-5525-4888-4e4c-b4b6c964bad4.png,com.example.xlwxdk01zcj
98000524,tako_565028bde138230a9b00064f,WeChat,1449841198,0,ks3-public/logo/a7089d1b-894e-4abb-4f1b-1ab3879ff4ef.png,com.tencent.x11
98000525,tako_565028bde138230a9b00064f,Kitty,1449842487,0,ks3-public/logo/0ec6836a-8d77-47c6-4de8-fa133f7e48cf.png,com.tencent.x01
98000526,tako_565028bde138230a9b00064f,大嘴猴,1449842669,0,ks3-public/logo/23c438ba-c64b-4311-6b36-49884f23c43d.png,com.tencent.x03
98000527,tako_565028bde138230a9b00064f,哆啦A梦,1449843758,0,ks3-public/logo/a45588f5-057d-4df0-4c33-9564ec4c5df6.png,com.tencent.x02
98000528,tako_565028bde138230a9b00064f,WeChat,1449844116,0,ks3-public/logo/761c1f8e-8a8b-431c-6ef9-f51e106f3cef.png,com.tencent.x08
98000529,tako_565028bde138230a9b00064f,海绵宝宝,1449844169,0,ks3-public/logo/645b21e3-fbfb-4c7a-79fc-16506fa3e6cd.png,com.tencent.x04
98000530,tako_565028bde138230a9b00064f,WeChat,1449844285,0,ks3-public/logo/ad2da3ae-cd97-4ede-4a2c-b1971376c4cd.png,com.tencent.x09
98000531,tako_565028bde138230a9b00064f,WeChat,1449844564,0,ks3-public/logo/36188d7f-3078-44ba-6e4d-418322acb89b.png,com.tencent.x07
98000532,tako_565028bde138230a9b00064f,胡巴,1449845418,0,ks3-public/logo/460ae972-701d-43f8-4833-61f4bb947bdd.png,com.tencent.x05
98000533,tako_565028bde138230a9b00064f,WeChat,1449845482,0,ks3-public/logo/89e92c7d-46ba-4126-4c61-19ef443b0ca3.png,com.tencent.x20
98000534,tako_565028bde138230a9b00064f,WeChat,1449845583,0,ks3-public/logo/5e816504-03de-49f7-6227-9ddbfa07d515.png,com.tencent.x19
98000535,tako_565028bde138230a9b00064f,WeChat,1449845805,0,ks3-public/logo/b799a18b-bf83-4b63-569a-324968d6fd62.png,com.tencent.x12
98000536,tako_565028bde138230a9b00064f,WeChat,1449845904,0,ks3-public/logo/33591605-8afe-4bbe-6b5e-ae6b8f7ffee0.png,com.tencent.x13
98000537,tako_565028bde138230a9b00064f,WeChat,1449845947,0,ks3-public/logo/51ad6b22-aa27-40ac-506a-89666b6b200b.png,com.tencent.x14
98000538,tako_565028bde138230a9b00064f,WeChat,1449846842,0,ks3-public/logo/e51d089f-3a83-4989-5a59-550cf4646baf.png,com.tencent.x15
98000539,tako_565028bde138230a9b00064f,WeChat,1449846990,0,ks3-public/logo/47955b80-d87d-4a36-7e17-d29ce2153ad6.png,com.tencent.x16
